board_name,board_website,board_phone,board_email,agency_affiliation,agency_url,picture_url,bio,city,name,term_end,position,party
Medicaid Pharmaceutical and Therapeutics Committee,http://www.hidesigns.com/sdmedicaid/ptinfo/,605-773-3495 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://prdgov-rxadmin.optum.com/rxadmin/SDM/PT_information.html,,,Hot Springs,Heather Preuss,,Medical Doctor,
Medicaid Pharmaceutical and Therapeutics Committee,http://www.hidesigns.com/sdmedicaid/ptinfo/,605-773-3495 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://prdgov-rxadmin.optum.com/rxadmin/SDM/PT_information.html,,,Sioux Falls,Matthew Stanley,,Medical Doctor,
Medicaid Pharmaceutical and Therapeutics Committee,http://www.hidesigns.com/sdmedicaid/ptinfo/,605-773-3495 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://prdgov-rxadmin.optum.com/rxadmin/SDM/PT_information.html,,,Watertown,Deidra Van Gilder,,Pharmacist,
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Pierre,Kim Brakke,2023-10-30,Lay Member,
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Sioux Falls,"Amber Bruns, MS, BCBA",2022-10-30,Applied Behavior Analyst Advisory Committee,
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Sioux Falls,"Karen Chesley, CSW-PIP",2022-10-30,"Certified Social Worker, Private Independent Practice",
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Rapid City,"Michael Forgy, CSW-PIP",2023-10-30,"Certified Social Worker, Private Independent Practice",
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Ft. Pierre,"Jennifer Gray, CSW-PIP",2022-10-30,"Certified Social Worker, Private Independent Practice",
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Sioux Falls,"Dr. Vicki Isler, Ed D, BCBA-D",2024-10-30,Applied Behavior Analyst Advisory Committee,
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Aberdeen,"Susan Kornder, CSW-PIP",2024-10-30,"Certified Social Worker, Private Independent Practice",
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Pierre,"Lisa Stanley, DVM",2023-10-30,Applied Behavioral Analyst Advisory Committee,
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Yankton,"Sharon Stratman, SW",2024-10-30,Social Worker,
"Social Work Examiners, Board of",https://dss.sd.gov/licensingboards/socialwork/social.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/socialwork/social.aspx,,,Rapid City,Bonnie Untereiner-Bjork,2022-10-30,Lay Member,
Recreational Trails Program Advisory Council,,605-773-5490,Randy.Kittle@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,,,Pierre,Ken Buhler,,Member,
Recreational Trails Program Advisory Council,,605-773-5490,Randy.Kittle@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,,,Yankton,Melvin Fish,,Member,
Recreational Trails Program Advisory Council,,605-773-5490,Randy.Kittle@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,,,Rapid City,Kitty Kinsman,,Chair,
Recreational Trails Program Advisory Council,,605-773-5490,Randy.Kittle@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,,,Sioux Falls,Dave Sweet,,Member,
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Colman,"Nicole Bowen, Secretary/Treasurer",2024-10-30,"Licensed Counselor, Certified Prevention Specialist",
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Spearfish,Kara Graveman,2023-10-30,"Licensed Counselor, Certified Prevention Specialist",
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Sioux Falls,Lynne Hagen,2023-10-30,Lay Member,
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Sioux Falls,"Amy Hartman, President",2023-10-30,Licensed Counselor,
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Sioux Falls,Kristi Jacobsma,2022-10-30,Licensed Counselor,
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Vermillion,Tiffany Kashas,2024-10-30,"Licensed Counselor, Certified Prevention Specialist",
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Brandon,Donald McCoy,2023-10-30,Lay Member,
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Sturgis,Kelsey Smith,2022-10-30,Lay Member,
"Addiction and Prevention Professionals, Board of",https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,Department of Social Services,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,,,Pierre,"Jill Viedt, Vice President",2024-10-30,Licensed Counselor,
Child Support Commission,https://dss.sd.gov/,605-773-3641 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://dss.sd.gov/,,,Sturgis,Amber Kinney,2021-12-31,Custodial Parent,
Child Support Commission,https://dss.sd.gov/,605-773-3641 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://dss.sd.gov/,,,Pierre,Scott Myren,2021-12-31,Justice,
Child Support Commission,https://dss.sd.gov/,605-773-3641 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://dss.sd.gov/,,,Pierre,Lindsey Riter-Rapp,2021-12-31,SD State Bar,
Child Support Commission,https://dss.sd.gov/,605-773-3641 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://dss.sd.gov/,,,Vermillion,Arthur Rusch,2021-12-31,Senator,
Child Support Commission,https://dss.sd.gov/,605-773-3641 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://dss.sd.gov/,,,Sioux Falls,Robert Simmermon,2021-12-31,Non-custodial Parent,
Child Support Commission,https://dss.sd.gov/,605-773-3641 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://dss.sd.gov/,,,Yankton,Mike Stevens,2021-12-31,Representative,
Child Support Commission,https://dss.sd.gov/,605-773-3641 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://dss.sd.gov/,,,Pierre,Virgena Wieseler,2021-12-31,DSS Chief of Children and Family Services,
Child Support Commission,https://dss.sd.gov/,605-773-3641 ,DSSBoards&Commissions@state.sd.us,Department of Social Services,https://dss.sd.gov/,,,Rapid City,Terri Williams,2021-12-31,Child Support Referee,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Sioux Falls,"Carla Borchardt, President",2022-10-30,RN,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Redfield,Deborah Bowar,2024-10-30,LPN,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Philip,Denise Buchholz,2023-10-30,RN,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Sioux Falls,Rebekah Cradduck,2021-10-30,Public Member,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Pierre,Kristin Gabriel,2022-10-30,Public Member,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Corsica,Nathan Hinker,2024-10-30,APRN,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Sturgis,"Christi Keffeler, Vice President",2022-10-30,LPN Educator,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Pierre,Lori Koenecke,2024-10-30,RN,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Brookings,Lois Tschetter,2023-10-30,RN Nurse Educator,
"Nursing, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/nursing/,605-362-2760,Erin.Matthies@state.sd.us,Department of Health,http://doh.sd.gov/,,,Sioux Falls,"Jenna VandenBos, Secretary",2023-10-30,LPN,
"Regents, Board of",http://www.sdbor.edu/,605-773-3455 ,Tracy.Mercer@sdbor.edu,Board of Regents,http://www.sdbor.edu/,https://boardsandcommissions.sd.gov/bcuploads/BrockBrown_web.jpg,"ck Brown, Lake Norden, is enrolled in the Juris Doctor program at the University of South Dakota Knudson School of Law, which he plans to complete in May 2025. At USD Law, Brown serves as the 1L SBA Class President and on the Federalist Society Board. In 2022, Brown completed his undergraduate education in political science and history at South Dakota State University. While at SDSU, Brown was the Residence Hall Association President, Students’ Association Senator, Students’ Association Executive Board Member, and South Dakota College Republicans Chairman. Appointed by Governor Noem in 2020 and reappointed in 2022, his term will expire in 2024. After graduation, Brown plans to practice law.",Lake Norden,Brock Brown,2024-06-30,Student Regent,Republican
"Regents, Board of",http://www.sdbor.edu/,605-773-3455 ,Tracy.Mercer@sdbor.edu,Board of Regents,http://www.sdbor.edu/,https://boardsandcommissions.sd.gov/bcuploads/JudyDittman-800x1067.jpg,"Dr. Judy Dittman of Madison began her career as a K-10 physical education teacher in the Newell Independent School District before becoming an instructor of health and physical education, as well as the head women’s basketball and softball coach at Dakota State University. After 34 years of teaching at both the University of Iowa and Dakota State University, Dr. Dittman became the Dean of the College of Education at DSU. Since 2013, she served as the Provost and Vice President for Academic Affairs, a professor of physical education and exercise science, the assistant to the president of special programs, and the Dean of the College of Arts and Sciences at DSU. Dr. Dittman retired in 2020. Appointed by Governor Noem in 2023, his term will expire in 2029.",Madison,Judy Dittman,2029-03-31,,
"Regents, Board of",http://www.sdbor.edu/,605-773-3455 ,Tracy.Mercer@sdbor.edu,Board of Regents,http://www.sdbor.edu/,https://boardsandcommissions.sd.gov/bcuploads/RandyFredrick.jpg,"Randy Frederick of Hayti served for 12 years in the South Dakota State Legislature and was the Chairman of the Senate Appropriations Committee for six years. He was also a member of Governor Rounds’ transition team and a Legislative Task Force Member. Appointed by Governor Noem in 2023, his term will expire in 2029.",Hayti,Randy Frederick,2029-03-31,,
"Regents, Board of",http://www.sdbor.edu/,605-773-3455 ,Tracy.Mercer@sdbor.edu,Board of Regents,http://www.sdbor.edu/,https://boardsandcommissions.sd.gov/bcuploads/James-Lochner_2023.jpg,"Jim Lochner of Dakota Dunes served as Chief Operations Officer of Tyson Foods from 2009 until he retired in 2014. Prior to that, he was given responsibility for Tyson’s Fresh Meat Business in 2001. Lochner also served on executive committees with various trade organizations, including the American Meat Institute and National Cattlemen’s Beef Association. He lives in Dakota Dunes and graduated from the University of Wisconsin-Madison with bachelor’s and master’s degrees in meat and animal science. Appointed by Governor Noem in 2023, his term will expire in 2027.",Dakota Dunes,James Lochner,2027-03-31,,
"Regents, Board of",http://www.sdbor.edu/,605-773-3455 ,Tracy.Mercer@sdbor.edu,Board of Regents,http://www.sdbor.edu/,https://boardsandcommissions.sd.gov/bcuploads/DougMorrison_2023.jpg,"Doug Morrison of Sioux Falls is currently the Director of Data Services for the Sioux Falls School District. Prior to that, he had a 30-year career at Citibank, where he served as CFO. He served as director of the Federal Reserve Bank of Minneapolis from 2003 to 2006. He has also served on the Sioux Falls School Board from 2008 to 2017. He is a certified public accountant and a certified management accountant. He graduated from the University of South Dakota with a degree in accounting. He is the co-founder of the Sioux Falls Hope Coalition, a nonprofit that provides preschool opportunities for underserved children. Appointed by Governor Noem in 2023, his term will expire in 2025.",Sioux Falls,Douglas Morrison,2025-03-31,Secretary,
"Regents, Board of",http://www.sdbor.edu/,605-773-3455 ,Tracy.Mercer@sdbor.edu,Board of Regents,http://www.sdbor.edu/,https://boardsandcommissions.sd.gov/bcuploads/Jeff_Partridge_web.jpg,"Jeff Partridge, Rapid City, is president of Partridge Financial Services. He served on the Rapid City Common Council from 2003-05, including a term as the council’s vice president. Partridge was on the legislature’s budget-setting Joint Appropriations Committee for six years, while serving terms in the House of Representatives from 2015-17 and in the Senate from 2017-21. He is a graduate of Augustana University. Appointed by Gov. Noem in 2021, his term will expire in 2027.",Rapid City,Jeffrey Partridge,2027-03-31,Vice President,Republican
"Regents, Board of",http://www.sdbor.edu/,605-773-3455 ,Tracy.Mercer@sdbor.edu,Board of Regents,http://www.sdbor.edu/,https://boardsandcommissions.sd.gov/bcuploads/Tim_Rave.jpg,"Tim Rave, Baltic, is president and CEO of the South Dakota Association of Healthcare Organizations. He served in both chambers of the South Dakota Legislature, first in the House of Representatives from 2003-11, where he became Speaker of the House, and later in the Senate from 2011-15, where he was the majority leader. Rave attended South Dakota State University and graduated from the University of Sioux Falls. Appointed by Gov. Noem in 2021, his term will expire in 2027.",Baltic,Timothy Rave,2027-03-31,President,Republican
"Regents, Board of",http://www.sdbor.edu/,605-773-3455 ,Tracy.Mercer@sdbor.edu,Board of Regents,http://www.sdbor.edu/,https://boardsandcommissions.sd.gov/bcuploads/Pam%20Roberts%20Photo.JPG,"Pam Roberts of Pierre, holds a bachelor’s degree in commercial economics from South Dakota State University. She retired from state government after a career in senior leadership roles, serving on the cabinet of five South Dakota governors, including positions as state labor secretary, state personnel commissioner, and chief of operations.?? Roberts and her husband, Clay, operate their family’s ranch in Stanley and Lyman counties. Appointed by Governor Daugaard in 2016 and? reappointed by Governor Noem in 2022, her term will expire in 2028.",Pierre,Pam Roberts,2028-03-31,,Republican
Abstracters' Board of Examiners,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,Department of Labor and Regulation,http://dlr.sd.gov,,,,Vacant,,Abstracter,
Abstracters' Board of Examiners,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,Department of Labor and Regulation,http://dlr.sd.gov,,,Pierre,Terra Fisher,2024-04-01,Lay Member,Republican
Abstracters' Board of Examiners,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,Department of Labor and Regulation,http://dlr.sd.gov,,,Sturgis,Dan Roe,2024-04-01,Abstracter (President),Republican
Abstracters' Board of Examiners,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,Department of Labor and Regulation,http://dlr.sd.gov,,,Rapid City,Gregory Wick,2024-04-01,Abstracter (Secretary/Treasurer),Republican
Abstracters' Board of Examiners,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,Department of Labor and Regulation,http://dlr.sd.gov,,,Canton,Victoria Wilds,2024-04-01,Abstracter,Democrat
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Pierre,Kari Behm,,Parent,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Rapid City,Joan Brost,,Special Education,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Rapid City,Cecilia Estes,,English Language Education,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Watertown,Bert Falak,,CTE,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Eagle Butte,Kara Four Bear,,District Superintendent,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Aberdeen,Becky Guffin,,District Superintendent,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Sioux Falls,Nicole Hansen,,Data and Assessment,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Sioux Falls,Regan Manning,,Private School,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Sturgis,Chrissy Peterson,,Title I Director/M-V Liaison/SPED Director,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Chester,Darin Seeley,,School Board Member,
Committee of Practitioners,,605-773-6400,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov,,,Huron,Laura Willemssen,,Principal,
Brand Board,http://www.sdbrandboard.com/,605-773-3324,Shawn.Bowles@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Mud Butte,David Paul,2024-01-01,Board Member,Independant
Brand Board,http://www.sdbrandboard.com/,605-773-3324,Shawn.Bowles@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Union Center,Lyle Spring,2025-01-03,Board Member,Republican
Brand Board,http://www.sdbrandboard.com/,605-773-3324,Shawn.Bowles@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Rapid City,Haven Stuck,2025-01-03,Board Member,Democrat
Brand Board,http://www.sdbrandboard.com/,605-773-3324,Shawn.Bowles@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Faith,Scott Vance,2026-01-02,Board President,Republican
Brand Board,http://www.sdbrandboard.com/,605-773-3324,Shawn.Bowles@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Wall,Myron Williams,2024-01-01,Board Vice Pres.,Republican
"Geographic Names, South Dakota Board on",http://www.sdbgn.sd.gov/,605-773-3540,June.Hansen@state.sd.us,Department of Tribal Relations,http://www.sdtribalrelations.com/,,,Pierre,Dave Flute,,Vice Chair & Cabinet Secretary-Dept. of Tribal Relations,
"Geographic Names, South Dakota Board on",http://www.sdbgn.sd.gov/,605-773-3540,June.Hansen@state.sd.us,Department of Tribal Relations,http://www.sdtribalrelations.com/,,,Pierre,June Hansen,,Chair-Representative-Dept. of Transportation,
"Geographic Names, South Dakota Board on",http://www.sdbgn.sd.gov/,605-773-3540,June.Hansen@state.sd.us,Department of Tribal Relations,http://www.sdtribalrelations.com/,,,Pierre,Cole Irwin,,Representative-Dept. of Tourism,
"Geographic Names, South Dakota Board on",http://www.sdbgn.sd.gov/,605-773-3540,June.Hansen@state.sd.us,Department of Tribal Relations,http://www.sdtribalrelations.com/,,,Pierre,Benjamin Jones,,Representative-State Historical Society,
"Geographic Names, South Dakota Board on",http://www.sdbgn.sd.gov/,605-773-3540,June.Hansen@state.sd.us,Department of Tribal Relations,http://www.sdtribalrelations.com/,,,Pierre,Sean Kruger,,Representative-Dept. of Agriculture & Natural Resources,
State Council for Educational Opportunity for Military Children,,605-923-0002,Ann.pettit@k12.sd.us,Department of Education,,,,Ellsworth AFB,Fran Apland,,Educational Liasion,
State Council for Educational Opportunity for Military Children,,605-923-0002,Ann.pettit@k12.sd.us,Department of Education,,,,Rapid City,Rep. Becky Drury,,Representative of the Legislature,
State Council for Educational Opportunity for Military Children,,605-923-0002,Ann.pettit@k12.sd.us,Department of Education,,,,"Pierre, SD",Dr. Joseph Graves,,Secretary of Education,
State Council for Educational Opportunity for Military Children,,605-923-0002,Ann.pettit@k12.sd.us,Department of Education,,,,Ellsworth AFB,Col. Patrice Holmes,,"USAF, Commander, 28th Mission Support Group",
State Council for Educational Opportunity for Military Children,,605-923-0002,Ann.pettit@k12.sd.us,Department of Education,,,"Appointed 07/17/18, replaces Audrey Ricketts",Pierre,Jonathan Nesladek,,Representative of the Executive Branch,
State Council for Educational Opportunity for Military Children,,605-923-0002,Ann.pettit@k12.sd.us,Department of Education,,,,Box Elder,Ann Pettit,,"Superintendent, school district with military children",
State Council for Educational Opportunity for Military Children,,605-923-0002,Ann.pettit@k12.sd.us,Department of Education,,,,Pierre,Daniel Swartos,,SD High School Activities Association,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,Wall,Amy Bessette,2026-06-30,Alternate,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,Belle Fourche,Caleb Case,2026-06-30,,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,,Kelly Christopherson,2026-06-30,Alternate,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,Lake Preston,Kristi Curd,2026-06-30,,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,Harrisburg,Tim Graf,2026-06-30,,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,,Rep. Mellissa Heermann,,Legislature Appointment,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,Waubay,Alan Neville,2026-06-30,Alternate,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,Ipswich,Trent Osborne,2025-06-30,,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,,Linda Turner,,DOE,
"Extraordinary Cost Oversight, Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,,,,Scotland,Fallon Woods,2025-06-30,,
Civil Service Commission,https://bhr.sd.gov/csc.aspx,605 773-5222,mary.weischedel@state.sd.us,Bureau of Human Resources,https://bhr.sd.gov/,,,"Pierre, SD",James Carpenter,2023-06-30,Law Enforcement Experience,Republican
Civil Service Commission,https://bhr.sd.gov/csc.aspx,605 773-5222,mary.weischedel@state.sd.us,Bureau of Human Resources,https://bhr.sd.gov/,,,Rapid City,Barbara Christianson,2024-06-30,,Democrat
Civil Service Commission,https://bhr.sd.gov/csc.aspx,605 773-5222,mary.weischedel@state.sd.us,Bureau of Human Resources,https://bhr.sd.gov/,,,Black Hawk,Gregory Ingemunson,2022-06-30,Law Enforcement Experience,Republican
Civil Service Commission,https://bhr.sd.gov/csc.aspx,605 773-5222,mary.weischedel@state.sd.us,Bureau of Human Resources,https://bhr.sd.gov/,,,Yankton,Kim Jensen,2024-06-30,Chief HR Officer,Republican
Civil Service Commission,https://bhr.sd.gov/csc.aspx,605 773-5222,mary.weischedel@state.sd.us,Bureau of Human Resources,https://bhr.sd.gov/,,,Brookings,Jeff Miller,2024-06-30,Law Enforcement Experience,Republican
Civil Service Commission,https://bhr.sd.gov/csc.aspx,605 773-5222,mary.weischedel@state.sd.us,Bureau of Human Resources,https://bhr.sd.gov/,,,Pierre,Dawn Morris,2023-06-30,,
Civil Service Commission,https://bhr.sd.gov/csc.aspx,605 773-5222,mary.weischedel@state.sd.us,Bureau of Human Resources,https://bhr.sd.gov/,,,Redfield,Shannon Williams,2022-06-30,,Republican
"Technical Education, South Dakota Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,https://bote.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/DYKHOUSE.jpg,"Dana Dykhouse is the chief executive officer of First PREMIER Bank, a position he has held since 1995. He has served on many civic and community boards. He is the chair of the Build Dakota Scholarship board and is a past chair of the Sioux Falls Chamber of Commerce and Forward Sioux Falls. He also serves on the South Dakota Science and Technology Authority, the South Dakota State University Foundation board, and the Sioux Falls Sports Authority.",Sioux Falls,Dana Dykhouse,2026-10-31,President,
"Technical Education, South Dakota Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,https://bote.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/EKEREN.jpg,"Doug Ekeren is the regional president and CEO of Avera Sacred Heart Hospital in Yankton. Ekeren has been with Sacred Heart since 1993. He serves on the board of directors of the Regional Technical Education Center (RTEC) in Yankton, and is a past president of the Yankton School Board and the Yankton Chamber of Commerce.",Yankton,Doug Ekeren,2025-10-31,Member,
"Technical Education, South Dakota Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,https://bote.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/Greenway.jpg,"Greenway attended one year at Southwest Minnesota State University in Marshall, MN before returning to Mitchell and graduating with an associate degree in Agriculture Management from Mitchell Technical Institute in 1984. Locally, Greenway serves on the township board, Davison County Fair Board, has been involved with the Davison County Pork Council for 30 years, and served on the SD Pork Producers Council from 2000 to 2015, including as president from 2005-2006. He served on the National Pork Board (Pork Checkoff) from 2009 to 2015. He most recently was a board member for U.S. Farmers & Ranchers in Action and served as chairman from 2016-2018.",Mitchell,Brad Greenway,2024-10-31,Member,
"Technical Education, South Dakota Board of",,605-773-3134,DOEBoards@state.sd.us,Department of Education,https://bote.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/042723_DennyLaw.jpg,"Law served as the general manager of Sioux Valley Telephone and Hills Telephone Company in 1997. He then became the eastern regional manager at Golden West. Starting in 2008, Law was the general manager and CEO of Golden West Telecommunications. Law and his wife, Bonnie, live in Wall, SD, and have two sons. Law graduated with his bachelor’s degree from South Dakota State University. He went on to earn his master’s degree from the University of South Dakota.",Wall,Dennis Law,2025-10-30,Member,
