board_name,agency_affiliation,name,position,city,term_end,party,picture_url,bio,board_website,board_phone,board_email,agency_website
Community Based Provider Shared Savings Workgroup,Office of the Governor,Shawnie Rechtenbaugh,"Department of Human Services, Secretary",,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,TJ Stanfield,Aurora Plains Academy,,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Taffy Howard,Representative,Rapid City,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Tammy Hatting,South Dakota Association of Healthcare Organizations (SDAHO),,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Tatiana Johnson,Legacy Healthcare,,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Terry Dosch,South Dakota Council of Mental Health Centers,,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Tim Rave,South Dakota Association of Healthcare Organizations (SDAHO),,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Troy Heinert,Senator,Mission,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Virgena Wieseler,"Department of Social Services, Child Protection Services",,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Wayne Steinhauer,Senator,Hartford,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,William Snyder,"Department of Social Services, Division of Medical Services",,,,,,,605.773.3166,sarah.aker@state.sd.us,
Community Based Provider Shared Savings Workgroup,Office of the Governor,Yvette Thomas,"Department of Human Services, Long Term Services and Supports",,,,,,,605.773.3166,sarah.aker@state.sd.us,
Corn Utilization Council (SDCUC),Department of Ag and Natural Resources,Chad Blindauer,District 8,Mitchell,,,,,http://www.sdcorn.org/about-us/sd-corn-utilization-council/,605-334-0100,info@sdcorn.org,https://danr.sd.gov/
Corn Utilization Council (SDCUC),Department of Ag and Natural Resources,Chris Nickeson,District 4,Pierpont,,,,,http://www.sdcorn.org/about-us/sd-corn-utilization-council/,605-334-0100,info@sdcorn.org,https://danr.sd.gov/
Corn Utilization Council (SDCUC),Department of Ag and Natural Resources,Doug Noem,District 3,Bryant,,,,,http://www.sdcorn.org/about-us/sd-corn-utilization-council/,605-334-0100,info@sdcorn.org,https://danr.sd.gov/
Corn Utilization Council (SDCUC),Department of Ag and Natural Resources,Jay Esser,Vice President - District 6,Redfield,,,,,http://www.sdcorn.org/about-us/sd-corn-utilization-council/,605-334-0100,info@sdcorn.org,https://danr.sd.gov/
Corn Utilization Council (SDCUC),Department of Ag and Natural Resources,Jim Ketelhut,President - District 9,Pukwana,,,,,http://www.sdcorn.org/about-us/sd-corn-utilization-council/,605-334-0100,info@sdcorn.org,https://danr.sd.gov/
Corn Utilization Council (SDCUC),Department of Ag and Natural Resources,Justin Minnaert,Secretary/Treasurer - District 2,Madison,,,,,http://www.sdcorn.org/about-us/sd-corn-utilization-council/,605-334-0100,info@sdcorn.org,https://danr.sd.gov/
Corn Utilization Council (SDCUC),Department of Ag and Natural Resources,Nicholas Fickbohm,District 1,"Akron, IA",,,,,http://www.sdcorn.org/about-us/sd-corn-utilization-council/,605-334-0100,info@sdcorn.org,https://danr.sd.gov/
Corn Utilization Council (SDCUC),Department of Ag and Natural Resources,Reno Brueggeman,District 7,Miller,,,,,http://www.sdcorn.org/about-us/sd-corn-utilization-council/,605-334-0100,info@sdcorn.org,https://danr.sd.gov/
Corrections Commission,Department of Corrections,Christie Klinger,Circuit Court Judge,Pierre,,Republican,,,http://doc.sd.gov/about/commission/,,,http://doc.sd.gov/
Corrections Commission,Department of Corrections,David McGirr,Retailers Association,Huron,,Republican,,,http://doc.sd.gov/about/commission/,,,http://doc.sd.gov/
Corrections Commission,Department of Corrections,Helene Duhamel,State Senator,Rapid City,,Republican,,,http://doc.sd.gov/about/commission/,,,http://doc.sd.gov/
Corrections Commission,Department of Corrections,John Hughes,State Representative,Sioux Falls,,Republican,,,http://doc.sd.gov/about/commission/,,,http://doc.sd.gov/
Corrections Commission,Department of Corrections,Jon Sogn,Circuit Court Judge,Sioux Falls,,na,,,http://doc.sd.gov/about/commission/,,,http://doc.sd.gov/
Corrections Commission,Department of Corrections,Kadyn Wittman,State Representative,Sioux Falls,,Democrat,,,http://doc.sd.gov/about/commission/,,,http://doc.sd.gov/
Corrections Commission,Department of Corrections,Mark Anderson,Labor,Sioux Falls,,Democrat,,,http://doc.sd.gov/about/commission/,,,http://doc.sd.gov/
Corrections Commission,Department of Corrections,Red Dawn Foster,State Senator,Pine Ridge,,Democrat,,,http://doc.sd.gov/about/commission/,,,http://doc.sd.gov/
Cosmetology Commission,Department of Labor and Regulation,Jason Pettigrew,Lay Member,Aberdeen,2027-04-30,Republican,,,http://dlr.sd.gov/cosmetology,605-773-6193,cosmetology@state.sd.us,http://dlr.sd.gov/
Cosmetology Commission,Department of Labor and Regulation,Karma Sanner,Cosmetologist (Secretary),Sioux Falls,2027-04-15,Democrat,,,http://dlr.sd.gov/cosmetology,605-773-6193,cosmetology@state.sd.us,http://dlr.sd.gov/
Cosmetology Commission,Department of Labor and Regulation,Kathy Hofer,Lay Member,Bridgewater,2027-04-14,Republican,,,http://dlr.sd.gov/cosmetology,605-773-6193,cosmetology@state.sd.us,http://dlr.sd.gov/
Cosmetology Commission,Department of Labor and Regulation,Renee Graf,Cosmetologist (President),Watertown,2025-04-14,N/A,,,http://dlr.sd.gov/cosmetology,605-773-6193,cosmetology@state.sd.us,http://dlr.sd.gov/
Cosmetology Commission,Department of Labor and Regulation,Trish Bates,Cosmetologist (Vice President),Mitchell,2027-04-15,Republican,,,http://dlr.sd.gov/cosmetology,605-773-6193,cosmetology@state.sd.us,http://dlr.sd.gov/
Court Appointed Special Advocates Commission,Unified Judicial System,Crystal Aman,Court Service Officer,Sioux Falls,2027-08-09,,,,http://ujs.sd.gov/Programs_and_Services/CIP/CASA.aspx,605-773-8459, Sara.Kelly@ujs.state.sd.us,http://ujs.sd.gov/
Court Appointed Special Advocates Commission,Unified Judicial System,Jolynn Bostrom,Social Services,Pierre,,,,,http://ujs.sd.gov/Programs_and_Services/CIP/CASA.aspx,605-773-8459, Sara.Kelly@ujs.state.sd.us,http://ujs.sd.gov/
Court Appointed Special Advocates Commission,Unified Judicial System,Kristie Fiegen,PUC,Pierre,2024-06-30,,,,http://ujs.sd.gov/Programs_and_Services/CIP/CASA.aspx,605-773-8459, Sara.Kelly@ujs.state.sd.us,http://ujs.sd.gov/
Court Appointed Special Advocates Commission,Unified Judicial System,Lloyd E. Guy,Attorney General Rosebud Sioux Tribe,Rosebud,2024-06-30,,,,http://ujs.sd.gov/Programs_and_Services/CIP/CASA.aspx,605-773-8459, Sara.Kelly@ujs.state.sd.us,http://ujs.sd.gov/
Court Appointed Special Advocates Commission,Unified Judicial System,Patrick Smith,Circuit Judge,Mitchell,2026-11-30,,,,http://ujs.sd.gov/Programs_and_Services/CIP/CASA.aspx,605-773-8459, Sara.Kelly@ujs.state.sd.us,http://ujs.sd.gov/
Court Appointed Special Advocates Commission,Unified Judicial System,Sara Kelly,Advisor,Pierre,,,,,http://ujs.sd.gov/Programs_and_Services/CIP/CASA.aspx,605-773-8459, Sara.Kelly@ujs.state.sd.us,http://ujs.sd.gov/
Crime Victims' Compensation Commission,Department of Public Safety,Becky Rasmussen,Attorney General Appointment,Sioux Falls,2026-10-30,,,,https://dps.sd.gov/victims-services/crime-victims-compensation,605-773-3109,cora.olson@state.sd.us,https://dps.sd.gov/victims-services/crime-victims-compensation
Crime Victims' Compensation Commission,Department of Public Safety,Carrie Fey,UJS - Appointed by Chief Justice of State Supreme Court,Aberdeen,2027-10-30,,,,https://dps.sd.gov/victims-services/crime-victims-compensation,605-773-3109,cora.olson@state.sd.us,https://dps.sd.gov/victims-services/crime-victims-compensation
Crime Victims' Compensation Commission,Department of Public Safety,Dustin Morrison,Governor Appointment - Law Enforcement,Rapid City,2026-10-30,,,,https://dps.sd.gov/victims-services/crime-victims-compensation,605-773-3109,cora.olson@state.sd.us,https://dps.sd.gov/victims-services/crime-victims-compensation
Crime Victims' Compensation Commission,Department of Public Safety,Keith Hansen,Governor Appointment - Physician,Sioux Falls,2027-10-30,,,,https://dps.sd.gov/victims-services/crime-victims-compensation,605-773-3109,cora.olson@state.sd.us,https://dps.sd.gov/victims-services/crime-victims-compensation
Crime Victims' Compensation Commission,Department of Public Safety,Rebecca Kiesow-Knudsen,Governor Appointment - Victims' Assistance,Sioux Falls,2025-10-30,,,,https://dps.sd.gov/victims-services/crime-victims-compensation,605-773-3109,cora.olson@state.sd.us,https://dps.sd.gov/victims-services/crime-victims-compensation
Critical Teaching Needs Scholarship Board,Board of Regents,Anna Schwan,Assistant Professor of Teacher Education/Department Chair,Groton,2026-06-30,,,,http://www.sdbor.edu/,605-773-3455,Keri.Richards@sdbor.edu,http://www.sdbor.edu/
Critical Teaching Needs Scholarship Board,Board of Regents,Dr. Joseph Graves,Secretary of Education,Pierre,,,,,http://www.sdbor.edu/,605-773-3455,Keri.Richards@sdbor.edu,http://www.sdbor.edu/
Critical Teaching Needs Scholarship Board,Board of Regents,Kay Schallenkamp,Retired University President,Spearfish,2028-06-30,,,,http://www.sdbor.edu/,605-773-3455,Keri.Richards@sdbor.edu,http://www.sdbor.edu/
Critical Teaching Needs Scholarship Board,Board of Regents,Patrick Mikkonen,Superintendent,Parkston,2025-06-30,,,,http://www.sdbor.edu/,605-773-3455,Keri.Richards@sdbor.edu,http://www.sdbor.edu/
Critical Teaching Needs Scholarship Board,Board of Regents,Steve Willard,Superintendent / State Board of Education Member,Belle Fourche,2025-06-30,,,,http://www.sdbor.edu/,605-773-3455,Keri.Richards@sdbor.edu,http://www.sdbor.edu/
"Dentistry, State Board of",Department of Health,Amy Perry,Public Member,Pierre,2027-10-30,,,,http://www.sdboardofdentistry.com/,605-224-1282,contactus@sdboardofdentistry.com,http://doh.sd.gov/
"Dentistry, State Board of",Department of Health,Ashley Flynn,Public Member,Sioux Falls,2026-10-30,,,,http://www.sdboardofdentistry.com/,605-224-1282,contactus@sdboardofdentistry.com,http://doh.sd.gov/
"Dentistry, State Board of",Department of Health,"Brian Prouty, Vice President",Dentist,Watertown,2026-10-30,,,,http://www.sdboardofdentistry.com/,605-224-1282,contactus@sdboardofdentistry.com,http://doh.sd.gov/
"Dentistry, State Board of",Department of Health,Harold Doerr,Dentist,Rapid City,2027-10-30,,,,http://www.sdboardofdentistry.com/,605-224-1282,contactus@sdboardofdentistry.com,http://doh.sd.gov/
"Dentistry, State Board of",Department of Health,Jon Schaack,Dentist,Rapid City,2026-10-30,,,,http://www.sdboardofdentistry.com/,605-224-1282,contactus@sdboardofdentistry.com,http://doh.sd.gov/
"Dentistry, State Board of",Department of Health,Nick Renemans,Dentist,Pierre,2025-10-30,,,,http://www.sdboardofdentistry.com/,605-224-1282,contactus@sdboardofdentistry.com,http://doh.sd.gov/
"Dentistry, State Board of",Department of Health,"Scott Van Dam, President",Dentist,Rapid City,2026-10-30,,,,http://www.sdboardofdentistry.com/,605-224-1282,contactus@sdboardofdentistry.com,http://doh.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Amanda Roberson,Parent/Guardian of an Adult with IDD,Piedmont,2027-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Barb Abeln,"Director, S.D.Development Center",Redfield,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Bernie Grimme,"Director, Division of Rehabilitation Services-Designee",Pierre,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Caryn Johnson,Individual w/ Developmental Disability (DD),Aberdeen,2027-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Cole Uecker,"Director, Disability Rights South Dakota",Pierre,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Elizabeth Tiger,Parent/Guardian of a child with developmental disabilites (DD),Spearfish,2026-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Eric Kurtz,"Director, USD Center for Disabilities",Sioux Falls,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Heather Krzmarzick,Director of Long Term Services and Support,Pierre,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,James Macris,Individual w/ Developmental Disability (DD),Highmore,2025-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Joe Carlson,Parent/ Guardian of a Child w/ Developmental Disability (DD),Canton,2025-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Katie Armstrong,Individual w/ Developmental Disability (DD),Brookings,2025-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Keath Rick,Parent / Guardian of Adult w/ Developmental Disability (DD),Big Stone City,2025-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Kevin Dunn,"Director, DHS Division of Developmental Disabilities",Aberdeen,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Kristy Jackson,CYSHN Director -Dept. of Health,Sioux Falls,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Melanie Boetel,DSS/Division of Behavioral Health,Sioux Falls,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Melanie Westin,Representative of Community Based Service Providers,Sioux Falls,2026-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Nichole Winckler,Parent / Guardian of Adult w/ Developmental Disability (DD),Rapid City,2027-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Nicole Meyer,Parent of child w/Developmental Disability (DD),Mina,2027-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Rebecca Jensen,Parent / Guardian of Adult w/ Developmental Disability (DD),Wagner,2027-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Robert Blechinger,Individual w/ Developmental Disability (DD),Sioux Falls,2025-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Sara Valle,Parent of Child w/ Developmental Disability (DD),Pierre,2025-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Tania Kostal,Parent/ Guardian of Adult w/ Developmental Disability (DD),Tyndall,2026-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Toni Feist,Individual w/ Developmental Disability (DD),St. Onge,2026-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Valerie Husby,Parent / Guardian of Adult w/ Developmental Disability (DD),Brandon,2026-06-30,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Developmental Disabilities, SD Council on,",Department of Human Services,Wendy Trujillo,Director or Designee of Special Education Programs,Pierre,,,,,http://dhs.sd.gov/ddc/,605-773-6369,Arlene.Poncelet@state.sd.us,http://dhs.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Caleb Arceneaux,,Rapid City,2025-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Carla Gatzke,,Brookings,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Curtis Everson,,Pierre,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Dan Newell,,Sioux Falls,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Douglas Sharp,,Watertown,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Everhardus Van Der Sluis,,Brookings,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Joel Rosenthal,,Sioux Falls,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,John Hemmingstad,,Elk Point,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Karlton Adam,,Pierre,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Kevin Nyberg,,Sioux Falls,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Marnie Herrmann,,Rapid City,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
"Economic Advisors, Council of",Bureau of Finance and Management,Matthew Cronin,,Gettysburg,2024-06-30,,,,,605-773-4151,mark.quasney@state.sd.us,http://bfm.sd.gov/
Economic Development Finance Authority Board of Directors,Governor's Office of Economic Development,Don Kettering,Vice-Chairman,Yankton,2025-06-30,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
Economic Development Finance Authority Board of Directors,Governor's Office of Economic Development,Jeff Erickson,Chairman,Sioux Falls,2028-06-30,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
Economic Development Finance Authority Board of Directors,Governor's Office of Economic Development,Jim Schmidt,Member,Sioux Falls,2027-06-30,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
Economic Development Finance Authority Board of Directors,Governor's Office of Economic Development,Matt Judson,Secretary-Treasurer,Pierre,2028-06-30,N/A,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
Economic Development Finance Authority Board of Directors,Governor's Office of Economic Development,Michael Luken,Member,Watertown,2026-06-30,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
Economic Development Finance Authority Board of Directors,Governor's Office of Economic Development,Sharon Casey,Member,Chamberlain,2025-06-30,Democrat,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
Economic Development Finance Authority Board of Directors,Governor's Office of Economic Development,Tom Jones,Member,Sioux Falls,2025-06-30,Democrat,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Brad Moore,Board Member,Dakota Dunes,2027-04-19,,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Craig Christianson,Board Member,Rapid City,2027-04-19,,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,David Emery,Board Member,Rapid City,2029-04-20,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Donald Kettering,Vice Chairman,Yankton,2027-04-19,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Eric Yunag,Board Member,Sioux Falls,2026-04-14,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Jeffory Erickson,Chairman,Sioux Falls,2029-04-20,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Joy Nelson,Board Member,Watertown,2026-04-14,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Kevin Tetzlaff,Board Member,Brookings,2027-04-19,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Matt Judson,Treasurer,Pierre,2026-04-14,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Michael Luken,Board Member,Watertown,2029-04-19,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Reed Kessler,Board Member,Aberdeen,2028-04-19,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Representative Erik Muckey,Non-voting Legislative Representative,Sioux Falls,2026-12-31,Democrat,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Representative Spencer Gosch,Non-voting Legislative Representative,Glenham,2026-12-31,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Senator Liz Larson,Non-voting Legislative Representative,Sioux Falls,2026-12-31,,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Senator Tm S. Reed,Non-voting Legislative Representative,Brookings,2026-12-31,Republican,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Sharon Casey,Board Member,Chamberlain,2028-04-19,Democrat,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Economic Development, Board of",Governor's Office of Economic Development,Tom Jones,Board Member,Sioux Falls,2028-04-19,Democrat,,,http://sd.gov,605-773-4633,Ashley.Moore@sdreadytowork.com,http://www.sdreadytowork.com/home.aspx
"Education Standards, South Dakota Board of",Department of Education,Jean Moulton,,Watertown,2028-12-31,,,,http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,http://doe.sd.gov/
"Education Standards, South Dakota Board of",Department of Education,Linda Olsen,,Dupree,2024-12-31,,,,http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,http://doe.sd.gov/
"Education Standards, South Dakota Board of",Department of Education,Phyllis Heineman,,Sioux Falls,2027-12-31,,,,http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,http://doe.sd.gov/
"Education Standards, South Dakota Board of",Department of Education,Rich Meyer,Vice President,Rapid City,2025-12-31,,,,http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,http://doe.sd.gov/
"Education Standards, South Dakota Board of",Department of Education,Steve Perkins,President,Sioux Falls,2026-12-31,,,,http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,http://doe.sd.gov/
"Education Standards, South Dakota Board of",Department of Education,Terry Nebelsick,,Huron,2024-12-31,,,,http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,http://doe.sd.gov/
Educational Enhancement Funding Corporation,Bureau of Finance and Management,Douglas Hajek,Vice Chairman/Republican Party,Sioux Falls,2027-01-18,,,"Douglas J. Hajek, appointed March 2011, resident of Sioux Falls",http://www.sdeefc.com/,,Dustin.Christopherson@sdhefa.com?,https://bfm.sd.gov/
Educational Enhancement Funding Corporation,Bureau of Finance and Management,James Breckenridge,Member/Republican Party,Sioux Falls,2026-01-17,,,"James Breckenridge, appointed February 2014, resident of Sioux Falls",http://www.sdeefc.com/,,Dustin.Christopherson@sdhefa.com?,https://bfm.sd.gov/
Educational Enhancement Funding Corporation,Bureau of Finance and Management,James Spies,Member/Republican Party,Watertown,2030-01-01,,,"Jim Spies, appointed July 2002, resident of Watertown",http://www.sdeefc.com/,,Dustin.Christopherson@sdhefa.com?,https://bfm.sd.gov/
Educational Enhancement Funding Corporation,Bureau of Finance and Management,Jim Lust,Member/Republican Party,Aberdeen,2027-01-15,,,"Jim Lust, appointed January 2019, resident of Aberdeen",http://www.sdeefc.com/,,Dustin.Christopherson@sdhefa.com?,https://bfm.sd.gov/
Educational Enhancement Funding Corporation,Bureau of Finance and Management,Julie Bartling,Member/Democratic Party,Gregory,2025-01-18,,,"Julie Bartling, Appointed December 2020, resident of Gregory",http://www.sdeefc.com/,,Dustin.Christopherson@sdhefa.com?,https://bfm.sd.gov/
